Section,Source,RSS Feed URL,Description
Breaking News,BBC News,https://feeds.bbci.co.uk/news/rss.xml,Global breaking news coverage
Breaking News,Reuters Top News,https://www.reuters.com/rssFeed/topNews,International breaking news
Breaking News,AP News Top Headlines,https://rsshub.app/apnews/topics/apf-topnews,Associated Press breaking news
Breaking News,NBC News,https://feeds.nbcnews.com/nbcnews/public/news,US breaking news
Breaking News,CNN World,http://rss.cnn.com/rss/edition_world.rss,CNN international news
Breaking News,Guardian World News,https://www.theguardian.com/world/rss,UK-based global news
Breaking News,NPR News,https://www.npr.org/rss/rss.php?id=1001,US public radio news
Breaking News,Al Jazeera,https://www.aljazeera.com/xml/rss/all.xml,Middle East perspective on global news
Breaking News,Deutsche Welle,https://rss.dw.com/rdf/rss-en-all,German international broadcaster
Breaking News,France 24,https://www.france24.com/en/rss,French international news
Business,Bloomberg,https://www.bloomberg.com/rss,Global business and financial news
Business,Financial Times,https://www.ft.com/rss/home,UK business and economic news
Business,Wall Street Journal,https://feeds.a.dj.com/rss/RSSWorldNews.xml,US business news
Business,Reuters Business,https://www.reuters.com/rssFeed/businessNews,International business news
Business,CNBC,https://www.cnbc.com/id/100003114/device/rss/rss.html,US business and markets
Business,MarketWatch,https://www.marketwatch.com/rss/topstories,Market and business news
Business,Yahoo Finance,https://finance.yahoo.com/news/rssindex,Financial news and analysis
Business,Forbes,https://www.forbes.com/business/feed/,Business and entrepreneurship
Business,Harvard Business Review,https://hbr.org/feed,Business strategy and management
Business,The Economist,https://www.economist.com/latest/rss.xml,Global business and economics
Business,Business Insider,https://www.businessinsider.com/rss,Business news and analysis
Business,Seeking Alpha,https://seekingalpha.com/feed.xml,Investment and market analysis
Tech & Science,TechCrunch,http://feeds.feedburner.com/TechCrunch/,Startup and tech industry news
Tech & Science,Wired,https://www.wired.com/feed/rss,Technology and science news
Tech & Science,The Verge,https://www.theverge.com/rss/index.xml,"Tech, science, and culture"
Tech & Science,Ars Technica,http://feeds.arstechnica.com/arstechnica/index/,Technology analysis and news
Tech & Science,VentureBeat,https://venturebeat.com/feed/,Tech industry and AI news
Tech & Science,ScienceDaily,https://www.sciencedaily.com/rss/all.xml,Science research news
Tech & Science,Nature News,https://www.nature.com/nature.rss,Scientific research and news
Tech & Science,MIT Technology Review,https://www.technologyreview.com/feed/,Emerging technology analysis
Tech & Science,IEEE Spectrum,https://spectrum.ieee.org/rss/fulltext,Engineering and technology
Tech & Science,Engadget,https://www.engadget.com/rss.xml,Consumer technology news
Tech & Science,ZDNet,https://www.zdnet.com/news/rss.xml,Business technology news
Tech & Science,TechRepublic,https://www.techrepublic.com/rssfeeds/articles/,IT professional news
Research Papers,arXiv Computer Science,https://rss.arxiv.org/rss/cs,Recent computer science papers
Research Papers,arXiv Physics,https://rss.arxiv.org/rss/physics,Recent physics papers
Research Papers,arXiv Mathematics,https://rss.arxiv.org/rss/math,Recent mathematics papers
Research Papers,arXiv AI/ML,https://rss.arxiv.org/rss/cs.AI+cs.LG,AI and machine learning papers
Research Papers,arXiv Quantitative Biology,https://rss.arxiv.org/rss/q-bio,Biology and life sciences papers
Research Papers,Nature Research,https://www.nature.com/nature/research-articles.rss,Nature research articles
Research Papers,Science Magazine,https://science.sciencemag.org/rss/current.xml,Science journal articles
Research Papers,PLOS ONE,https://journals.plos.org/plosone/feed/atom,Open access research
Research Papers,Nature Communications,https://www.nature.com/ncomms.rss,Multidisciplinary research
Research Papers,Cell Press,https://www.cell.com/action/showFeed?type=etoc&feed=rss&jc=cell,Cell biology research
Research Papers,PNAS,https://www.pnas.org/rss/current.xml,Proceedings of National Academy of Sciences
Research Papers,arXiv Economics,https://rss.arxiv.org/rss/econ,Economics research papers
Politics,Politico,https://www.politico.com/rss/politicopicks.xml,US political news
Politics,The Hill,https://thehill.com/news/feed/,US politics and policy
Politics,Washington Post Politics,https://feeds.washingtonpost.com/rss/politics,US political coverage
Politics,New York Times Politics,https://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,Political news and analysis
Politics,Foreign Affairs,https://www.foreignaffairs.com/rss.xml,International relations and policy
Politics,Foreign Policy,https://foreignpolicy.com/feed/,Global politics and analysis
Politics,The Atlantic Politics,https://feeds.feedburner.com/TheAtlanticPoliticsChannel,Political commentary
Politics,Congressional Quarterly,https://plus.cq.com/rss/feed.rss,Congressional and legislative news
Politics,Roll Call,https://www.rollcall.com/rss/,Capitol Hill news
Politics,International Crisis Group,https://www.crisisgroup.org/crisiswatch/rss.xml,Global conflict analysis
Miscellaneous,Dezeen,https://www.dezeen.com/feed/,Contemporary architecture and design news
Miscellaneous,Architectural Digest,https://www.architecturaldigest.com/feed/rss,Architecture and luxury design
Miscellaneous,designboom,https://www.designboom.com/feeds/all/,"Architecture, design, and art news"
Miscellaneous,ArchDaily,https://www.archdaily.com/feed/,Architecture news and projects
Miscellaneous,Core77,https://www.core77.com/rss/object.xml,Industrial design and innovation
Miscellaneous,Inhabitat,https://inhabitat.com/feed/,Green design and sustainable architecture
Miscellaneous,Wallpaper*,https://www.wallpaper.com/rss,"Design, fashion, and lifestyle"
Miscellaneous,Fast Company Design,https://www.fastcompany.com/design/rss,Design and innovation
Miscellaneous,IGNANT,https://www.ignant.com/feed/,"Art, architecture, and design"
Miscellaneous,Curbed,https://www.curbed.com/rss/index.xml,"Cities, architecture, and design"
Miscellaneous,This is Colossal,https://thisiscolossal.com/feed/,Contemporary art and visual culture
Miscellaneous,ARTnews,https://www.artnews.com/feed/,Art news and market updates
Miscellaneous,Artforum,https://www.artforum.com/rss.xml,Contemporary art criticism
Miscellaneous,Hyperallergic,https://hyperallergic.com/feed/,Art criticism and news
Miscellaneous,The Art Newspaper,https://www.theartnewspaper.com/rss,International art news
Miscellaneous,Booooooom,https://www.booooooom.com/feed/,Contemporary art and culture
Miscellaneous,Contemporary Art Daily,https://stacks.contemporaryartlibrary.org/feed,Exhibition documentation
Miscellaneous,Street Art News,https://streetartnews.net/feed/,Urban and street art
Miscellaneous,MoMA Magazine,https://www.moma.org/magazine/feed/,Museum of Modern Art content
Miscellaneous,Guggenheim Magazine,https://www.guggenheim.org/feed/,Guggenheim museum content
Miscellaneous,Tate,https://www.tate.org.uk/rss/all-content.xml,Tate museum content
Miscellaneous,British Museum Blog,https://blog.britishmuseum.org/feed/,Museum insights and collections
Miscellaneous,Artsy Editorial,https://www.artsy.net/rss/news,Art market and criticism
Miscellaneous,Frieze,https://www.frieze.com/rss.xml,Contemporary art magazine
Miscellaneous,Art in America,https://www.artnews.com/c/art-in-america/rss/,American art criticism
Miscellaneous,Vogue,https://www.vogue.com/feed/rss,"Fashion, beauty, and culture"
Miscellaneous,Elle,https://www.elle.com/rss/all.xml,Fashion and lifestyle
Miscellaneous,Harper's Bazaar,https://www.harpersbazaar.com/rss/,Fashion and culture
Miscellaneous,WWD,https://wwd.com/feed/,Fashion business news
Miscellaneous,Business of Fashion,https://www.businessoffashion.com/feed/,Fashion industry analysis
Miscellaneous,The Cut,https://www.thecut.com/rss/,Fashion and culture commentary
Miscellaneous,Fashionista,https://fashionista.com/feed,Fashion industry news
Miscellaneous,i-D,https://i-d.vice.com/en/rss,Fashion and youth culture
Miscellaneous,Highsnobiety,https://www.highsnobiety.com/rss/,Streetwear and culture
Miscellaneous,Hypebeast,https://hypebeast.com/rss,Streetwear and lifestyle
Miscellaneous,Bon Appétit,https://www.bonappetit.com/feed/rss,Food and cooking
Miscellaneous,Food & Wine,https://www.foodandwine.com/rss,Culinary culture and recipes
Miscellaneous,Eater,https://www.eater.com/rss/index.xml,Food culture and restaurant news
Miscellaneous,Serious Eats,https://www.seriouseats.com/rss,Food science and cooking
Miscellaneous,Saveur,https://www.saveur.com/rss/,Food culture and travel
Miscellaneous,The Kitchn,https://www.thekitchn.com/main.rss,Home cooking and food culture
Miscellaneous,Gastro Obscura,https://www.atlasobscura.com/feeds/gastro,Food history and culture
Miscellaneous,Lucky Peach,https://feeds.feedburner.com/LuckyPeach,Food culture magazine
Miscellaneous,Taste,https://www.taste.com.au/rss/,Food and cooking
Miscellaneous,First We Feast,https://firstwefeast.com/rss.xml,Food and pop culture
Miscellaneous,Lonely Planet,https://www.lonelyplanet.com/blog.rss,Travel guides and culture
Miscellaneous,Conde Nast Traveler,https://www.cntraveler.com/feed/rss,Luxury travel and culture
Miscellaneous,Travel + Leisure,https://www.travelandleisure.com/rss,Travel and lifestyle
Miscellaneous,Atlas Obscura,https://www.atlasobscura.com/feeds/latest,Hidden places and culture
Miscellaneous,Culture Trip,https://theculturetrip.com/feed/,Travel and local culture
Miscellaneous,Roads & Kingdoms,https://roadsandkingdoms.com/feed/,"Travel, food, and culture"
Miscellaneous,Afar,https://www.afar.com/rss/magazine.xml,Travel and cultural immersion
Miscellaneous,National Geographic Travel,https://www.nationalgeographic.com/travel/rss,Adventure and culture travel
Miscellaneous,The Points Guy,https://thepointsguy.com/feed/,Travel tips and rewards
Miscellaneous,Nomadic Matt,https://www.nomadicmatt.com/feed/,Budget travel advice
Miscellaneous,Philosophy Now,https://philosophynow.org/rss/articles.xml,Contemporary philosophy
Miscellaneous,Aeon,https://aeon.co/feed.rss,"Philosophy, science, and society"
Miscellaneous,The Philosophers' Magazine,https://www.philosophersmag.com/rss.xml,Philosophy for general readers
Miscellaneous,Daily Nous,https://dailynous.com/feed/,Philosophy profession news
Miscellaneous,3:16 AM Magazine,https://www.3-16am.co.uk/feed/,Philosophy interviews and essays
